Begin Time - hh:mm:ss.ms	End Time - hh:mm:ss.ms	Duration - hh:mm:ss.ms	svara	motifs	phrases
00:05:01.343	00:05:01.820	00:00:00.477	sa		
00:05:01.820	00:05:02.221	00:00:00.401	ni 		
00:05:02.221	00:05:02.641	00:00:00.420	sa		
00:05:02.926	00:05:03.369	00:00:00.443	ri		
00:05:03.369	00:05:03.757	00:00:00.388	ga		
00:05:03.757	00:05:04.575	00:00:00.818	ma		
00:05:04.605	00:05:05.101	00:00:00.496	pa		
00:05:05.101	00:05:05.581	00:00:00.480	ga		
00:05:05.581	00:05:05.847	00:00:00.266	ri		
00:05:06.088	00:05:06.559	00:00:00.471	ga		
00:05:06.094	00:05:08.072	00:00:01.978		ga ma pa	
00:05:06.559	00:05:07.085	00:00:00.526	ma		
00:05:07.085	00:05:08.067	00:00:00.982	pa		
00:05:08.067	00:05:08.504	00:00:00.437	dha		
00:05:08.504	00:05:08.964	00:00:00.460	ma		
00:05:08.964	00:05:09.427	00:00:00.463	ga		
00:05:09.427	00:05:09.657	00:00:00.230	ri		
00:05:09.977	00:05:10.411	00:00:00.434	sa		
00:05:10.411	00:05:11.309	00:00:00.898	ga		
00:05:11.309	00:05:11.858	00:00:00.549	ma		
00:05:11.858	00:05:12.246	00:00:00.388	ga		
00:05:12.246	00:05:12.486	00:00:00.240	ri		
00:05:12.820	00:05:13.100	00:00:00.280	sa		
00:05:13.100	00:05:13.553	00:00:00.453	ri		
00:05:13.553	00:05:14.493	00:00:00.940	ni		
00:05:14.493	00:05:14.848	00:00:00.355	sa		
00:05:15.211	00:05:15.468	00:00:00.257	ni		
00:05:15.468	00:05:15.910	00:00:00.442	sa		
00:05:15.910	00:05:16.575	00:00:00.665	ri		
00:05:16.575	00:05:16.974	00:00:00.399	ga		
00:05:16.974	00:05:17.939	00:00:00.965	ma		
00:05:17.939	00:05:18.376	00:00:00.437	pa		
00:05:18.376	00:05:18.820	00:00:00.444	ga		
00:05:18.820	00:05:19.182	00:00:00.362	ri		
00:05:19.301	00:05:19.763	00:00:00.462	ga		
00:05:19.307	00:05:21.203	00:00:01.896		ga ma pa	
00:05:19.763	00:05:20.261	00:00:00.498	ma		
00:05:20.261	00:05:21.198	00:00:00.937	pa		
00:05:21.198	00:05:21.666	00:00:00.468	dha		
00:05:21.666	00:05:22.148	00:00:00.482	ma		
00:05:22.148	00:05:22.595	00:00:00.447	ga		
00:05:22.595	00:05:23.011	00:00:00.416	ri		
00:05:23.011	00:05:23.203	00:00:00.192	sa		
00:05:23.530	00:05:24.582	00:00:01.052	ni		
00:05:24.582	00:05:24.852	00:00:00.270	sa		
00:05:25.198	00:05:27.535	00:00:02.337		ni ga ri	
00:05:25.200	00:05:25.975	00:00:00.775	ni		
00:05:25.975	00:05:27.203	00:00:01.228	ga		
00:05:27.203	00:05:27.542	00:00:00.339	ri		
00:05:27.549	00:05:28.464	00:00:00.915	ga		
00:05:28.464	00:05:29.300	00:00:00.836	ma		
00:05:29.730	00:05:30.064	00:00:00.334	pa		
00:05:29.730	00:05:33.442	00:00:03.712			pa dha ni ni dha pa
00:05:30.064	00:05:30.379	00:00:00.315	dha		
00:05:30.379	00:05:31.336	00:00:00.957	ni		
00:05:31.336	00:05:32.236	00:00:00.900	ni		
00:05:31.338	00:05:33.434	00:00:02.096		ni dha pa	
00:05:32.236	00:05:32.653	00:00:00.417	dha		
00:05:32.653	00:05:33.435	00:00:00.782	pa		
00:05:33.788	00:05:34.656	00:00:00.868	pa		
00:05:34.656	00:05:35.601	00:00:00.945	ma		
00:05:35.601	00:05:36.103	00:00:00.502	ga		
00:05:36.110	00:05:36.579	00:00:00.469	ri		
00:05:36.579	00:05:37.122	00:00:00.543	sa		
00:05:37.122	00:05:37.668	00:00:00.546	ri		
00:05:37.128	00:05:39.541	00:00:02.413		ri sa ni	
00:05:37.668	00:05:38.463	00:00:00.795	sa		
00:05:38.479	00:05:39.545	00:00:01.066	ni		
00:05:39.545	00:05:40.521	00:00:00.976	ni		
00:05:39.545	00:05:41.710	00:00:02.165		ni dha	
00:05:40.521	00:05:41.710	00:00:01.189	dha		
00:05:42.941	00:05:43.869	00:00:00.928	ma		
00:05:42.941	00:05:45.245	00:00:02.304		ma pa	
00:05:43.869	00:05:45.245	00:00:01.376	pa		
00:05:46.235	00:05:47.194	00:00:00.959	dha		
00:05:46.235	00:05:49.106	00:00:02.871		dha ni sa	
00:05:47.194	00:05:47.976	00:00:00.782	ni		
00:05:47.976	00:05:49.106	00:00:01.130	sa		
00:05:50.535	00:05:51.447	00:00:00.912	ga		
00:05:50.539	00:05:52.738	00:00:02.199		ga ma ga ri	
00:05:51.447	00:05:51.941	00:00:00.494	ma		
00:05:51.941	00:05:52.423	00:00:00.482	ga		
00:05:52.423	00:05:52.735	00:00:00.312	ri		
00:05:52.905	00:05:53.336	00:00:00.431	sa		
00:05:53.336	00:05:53.872	00:00:00.536	ri		
00:05:53.872	00:05:54.815	00:00:00.943	ni		
00:05:54.826	00:05:55.136	00:00:00.310	sa		
00:05:55.357	00:05:55.803	00:00:00.446	ni		
00:05:55.803	00:05:56.197	00:00:00.394	sa		
00:05:56.197	00:05:56.644	00:00:00.447	ri		
00:05:56.644	00:05:57.186	00:00:00.542	ga		
00:05:57.186	00:05:58.056	00:00:00.870	ma		
00:05:58.056	00:05:58.572	00:00:00.516	pa		
00:05:58.572	00:05:58.978	00:00:00.406	ga		
00:05:58.978	00:05:59.325	00:00:00.347	ri		
00:05:59.543	00:05:59.984	00:00:00.441	ga		
00:05:59.547	00:06:01.343	00:00:01.796		ga ma pa	
00:05:59.984	00:06:00.472	00:00:00.488	ma		
00:06:00.472	00:06:01.339	00:00:00.867	pa		
00:06:01.339	00:06:01.816	00:00:00.477	dha		
00:06:01.816	00:06:02.292	00:00:00.476	ma		
00:06:02.292	00:06:02.763	00:00:00.471	ga		
00:06:02.763	00:06:03.133	00:00:00.370	ri		
00:06:03.133	00:06:03.539	00:00:00.406	sa		
